episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
227,-132.528237,-132.527069,0.050000,100000,1.120401,2000,0,3,1,1,0,138.755325,454000
228,-152.281649,-152.281540,0.050000,100000,1.133349,2000,0,1,1,1,0,138.755325,456000
229,-148.451604,-148.451202,0.050000,100000,1.071242,2000,0,1,1,1,0,138.755325,458000
230,-76.375363,-76.375381,0.050000,100000,1.130118,2000,0,2,1,1,0,138.755325,460000
231,-156.788213,-156.788101,0.050000,100000,1.120892,2000,0,1,1,1,0,138.755325,462000
232,-74.000753,-74.000916,0.050000,100000,1.184431,2000,0,4,1,1,0,138.755325,464000
233,-107.101989,-107.101166,0.050000,100000,1.202401,2000,0,2,1,1,0,138.755325,466000
234,-108.759964,-108.760178,0.050000,100000,1.299066,2000,0,4,1,1,0,138.755325,468000
235,62.873629,62.873695,0.050000,100000,1.391928,2000,0,10,2,1,0,212.873695,470000
236,-109.850084,-109.849030,0.050000,100000,1.468628,2000,0,4,1,1,0,212.873695,472000
237,-113.557283,-113.556938,0.050000,100000,1.499338,2000,0,3,1,1,0,212.873695,474000
238,-34.632257,-34.632591,0.050000,100000,1.490927,2000,0,6,1,1,0,212.873695,476000
239,-1154.878240,-1154.870728,0.050000,100000,1.388032,2000,882,3,1,1,0,212.873695,478000
240,-103.926799,-103.926239,0.050000,100000,1.434286,2000,0,3,1,1,0,212.873695,480000
241,-104.004335,-104.003624,0.050000,100000,1.463621,2000,0,3,1,1,0,212.873695,482000
242,-116.573303,-116.571907,0.050000,100000,1.525571,2000,0,3,1,1,0,212.873695,484000
243,-107.846514,-107.846497,0.050000,100000,1.446121,2000,0,3,1,1,0,212.873695,486000
244,-13.360167,-13.360312,0.050000,100000,1.502204,2000,0,3,1,1,0,212.873695,488000
245,-129.868463,-129.867371,0.050000,100000,1.534645,2000,0,3,1,1,0,212.873695,490000
246,-103.924389,-103.923691,0.050000,100000,1.458850,2000,0,3,1,1,0,212.873695,492000
247,-324.187221,-324.182220,0.050000,100000,1.443220,2000,140,1,1,1,0,212.873695,494000
248,-103.143264,-103.143211,0.050000,100000,1.429782,2000,0,3,1,1,0,212.873695,496000
249,-10.367453,-10.367524,0.050000,100000,1.369176,2000,0,3,1,1,0,212.873695,498000
250,1.710033,1.709905,0.050000,100000,1.441094,2000,0,3,1,1,0,212.873695,500000
251,-136.391732,-136.390701,0.050000,100000,1.419487,2000,1,3,1,1,0,212.873695,502000
252,-117.396750,-117.395615,0.050000,100000,1.375228,2000,0,3,1,1,0,212.873695,504000
253,-97.948272,-97.948044,0.050000,100000,1.355093,2000,0,3,1,1,0,212.873695,506000
254,-66.358248,-66.358650,0.050000,100000,1.353063,2000,0,3,1,1,0,212.873695,508000
255,-45.252065,-45.252350,0.050000,100000,1.402979,2000,0,4,1,1,0,212.873695,510000
256,-70.497214,-70.497299,0.050000,100000,1.389825,2000,0,4,1,1,0,212.873695,512000
257,-63.593546,-63.594048,0.050000,100000,1.287315,2000,0,3,1,1,0,212.873695,514000
258,-2.902062,-2.902094,0.050000,100000,1.299172,2000,0,4,1,1,0,212.873695,516000
259,7.017350,7.017260,0.050000,100000,1.224951,2000,0,4,1,1,0,212.873695,518000
260,-37.124640,-37.124779,0.050000,100000,1.168122,2000,0,0,0,1,0,212.873695,520000
261,-134.673935,-134.672775,0.050000,100000,1.145409,2000,0,0,0,1,0,212.873695,522000
262,-25.920236,-25.920485,0.050000,100000,1.092720,2000,0,1,1,1,0,212.873695,524000
263,-18.799001,-18.799177,0.050000,100000,1.084927,2000,0,3,1,1,0,212.873695,526000
264,-93.236191,-93.235870,0.050000,100000,1.006341,2000,0,3,1,1,0,212.873695,528000
265,-132.625351,-132.624176,0.050000,100000,1.027456,2000,0,3,1,1,0,212.873695,530000
266,-116.356541,-116.355530,0.050000,100000,0.961744,2000,0,3,1,1,0,212.873695,532000
267,-36.087801,-36.088039,0.050000,100000,0.934374,2000,0,3,1,1,0,212.873695,534000
268,-91.882875,-91.883118,0.050000,100000,0.924867,2000,0,3,1,1,0,212.873695,536000
269,-116.725147,-116.724709,0.050000,100000,0.936250,2000,0,3,1,1,0,212.873695,538000
270,-117.486351,-117.485237,0.050000,100000,0.879957,2000,0,3,1,1,0,212.873695,540000
271,-99.501052,-99.500473,0.050000,100000,0.873958,2000,0,3,1,1,0,212.873695,542000
272,-110.332143,-110.331284,0.050000,100000,0.881832,2000,0,3,1,1,0,212.873695,544000
273,-97.274254,-97.274261,0.050000,100000,0.816029,2000,0,3,1,1,0,212.873695,546000
274,-75.074114,-75.074112,0.050000,100000,0.793658,2000,0,3,1,1,0,212.873695,548000
275,-32.102677,-32.102791,0.050000,100000,0.796714,2000,0,3,1,1,0,212.873695,550000
276,-0.272481,-0.272538,0.050000,100000,0.762425,2000,0,3,1,1,0,212.873695,552000
277,-93.254432,-93.254402,0.050000,100000,0.738829,2000,0,3,1,1,0,212.873695,554000
278,-55.185965,-55.186344,0.050000,100000,0.723913,2000,0,4,1,1,0,212.873695,556000
279,-55.828806,-55.828823,0.050000,100000,0.709346,2000,0,4,1,1,0,212.873695,558000
280,-94.065950,-94.065552,0.050000,100000,0.738361,2000,0,4,1,1,0,212.873695,560000
281,-39.051544,-39.051834,0.050000,100000,0.713038,2000,0,0,0,1,0,212.873695,562000
282,-31.545130,-31.545349,0.050000,100000,0.674000,2000,0,1,1,1,0,212.873695,564000
283,-101.533160,-101.533165,0.050000,100000,0.631310,2000,0,3,1,1,0,212.873695,566000
284,-87.725108,-87.724815,0.050000,100000,0.639035,2000,0,3,1,1,0,212.873695,568000
285,0.130150,0.130098,0.050000,100000,0.622227,2000,0,4,1,1,0,212.873695,570000
